順位,名称・コード・市場,取引値,発行済み株式数,時価総額(百万円),単元株数
55,大塚ホールディングス(株)4578東証PRM掲示板,"7,00706/20","542,988,917株","3,804,723百万円",100
56,味の素(株)2802東証PRM掲示板,"3,67606/20","1,005,637,616株","3,696,724百万円",100
57,ファナック(株)6954東証PRM掲示板,"3,71306/20","982,383,493株","3,647,590百万円",100
58,パナソニック　ホールディングス(株)6752東証PRM掲示板,"1,48306/20","2,454,446,497株","3,639,944百万円",100
59,ルネサスエレクトロニクス(株)6723東証PRM掲示板,"1,932.506/20","1,870,614,885株","3,614,963百万円",100
60,オリックス(株)8591東証PRM掲示板,"3,05706/20","1,162,962,244株","3,555,176百万円",100
61,三菱地所(株)8802東証PRM掲示板,"2,784.506/20","1,250,838,706株","3,482,960百万円",100
62,東日本旅客鉄道(株)9020東証PRM掲示板,"3,05006/20","1,134,412,200株","3,459,957百万円",100
63,ニデック(株)6594東証PRM掲示板,"2,87206/20","1,192,568,936株","3,425,058百万円",100
64,(株)野村総合研究所4307東証PRM掲示板,"5,83806/20","581,241,511株","3,393,288百万円",100
65,豊田通商(株)8015東証PRM掲示板,"3,14806/20","1,062,169,548株","3,343,710百万円",100
66,スズキ(株)7269東証PRM掲示板,"1,696.506/20","1,964,586,400株","3,332,921百万円",100
67,東海旅客鉄道(株)9022東証PRM掲示板,"3,16306/20","1,030,000,000株","3,257,890百万円",100
68,大和ハウス工業(株)1925東証PRM掲示板,"4,93606/20","659,478,962株","3,255,188百万円",100
69,ＳＭＣ(株)6273東証PRM掲示板,"50,25006/20","63,869,359株","3,209,435百万円",100
70,(株)バンダイナムコホールディングス7832東証PRM掲示板,"4,89406/20","650,000,000株","3,181,100百万円",100
71,コナミグループ(株)9766東証PRM掲示板,"21,78006/20","143,500,000株","3,125,430百万円",100
72,ＴＤＫ(株)6762東証PRM掲示板,"1,578.506/20","1,943,859,885株","3,068,383百万円",100
73,花王(株)4452東証PRM掲示板,"6,54806/20","465,900,000株","3,050,713百万円",100
74,(株)パン・パシフィック・インターナショナルホールディングス7532東証PRM掲示板,"4,77806/20","635,225,740株","3,035,109百万円",100
75,(株)りそなホールディングス8308東証PRM掲示板,"1,309.506/20","2,307,136,589株","3,021,195百万円",100
